idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.75,0.8,38.412309646606445,20211008-194718,1.1748425960540771
1,0.9,SimCLR,node_dropping,64,1,512,0.8,0.65,37.865954875946045,20211008-194757,1.22184157371521
2,0.9,SimCLR,node_dropping,64,2,64,0.75,0.65,39.36572051048279,20211008-194837,1.183143138885498
3,0.9,SimCLR,node_dropping,64,2,512,0.85,0.8,39.639065742492676,20211008-194918,1.2635505199432373
4,0.9,SimCLR,node_dropping,64,3,64,0.65,0.8,41.246819257736206,20211008-195001,1.1930840015411377
5,0.9,SimCLR,node_dropping,64,3,512,0.75,0.6,41.182167768478394,20211008-195043,1.302001714706421
6,0.9,SimCLR,node_dropping,256,1,64,0.75,0.75,36.275322914123535,20211008-195121,1.1801612377166748
7,0.9,SimCLR,node_dropping,256,1,512,0.8,0.7,37.289939165115356,20211008-195159,1.2863736152648926
8,0.9,SimCLR,node_dropping,256,2,64,0.75,0.65,38.98653602600098,20211008-195240,1.2370860576629639
9,0.9,SimCLR,node_dropping,256,2,512,0.75,0.85,38.83912515640259,20211008-195320,1.3212337493896484
10,0.9,SimCLR,node_dropping,256,3,64,0.7,0.7,39.36445116996765,20211008-195401,1.2440083026885986
11,0.9,SimCLR,node_dropping,256,3,512,0.8,0.75,39.44104361534119,20211008-195442,1.3755505084991455
12,0.9,SimCLR,edge_perturbation,64,1,64,0.8,0.7,37.32166123390198,20211008-195520,1.2299480438232422
13,0.9,SimCLR,edge_perturbation,64,1,512,0.75,0.75,37.499343395233154,20211008-195559,1.2746303081512451
14,0.9,SimCLR,edge_perturbation,64,2,64,0.65,0.65,39.27527666091919,20211008-195639,1.2374651432037354
15,0.9,SimCLR,edge_perturbation,64,2,512,0.8,0.8,39.259045362472534,20211008-195720,1.3250939846038818
16,0.9,SimCLR,edge_perturbation,64,3,64,0.85,0.75,40.82327961921692,20211008-195802,1.2447845935821533
17,0.9,SimCLR,edge_perturbation,64,3,512,0.8,0.7,41.13216209411621,20211008-195845,1.3759472370147705
18,0.9,SimCLR,edge_perturbation,256,1,64,0.75,0.6,35.55368661880493,20211008-195922,1.2299714088439941
19,0.9,SimCLR,edge_perturbation,256,1,512,0.65,0.7,35.76706099510193,20211008-195959,1.2771291732788086
20,0.9,SimCLR,edge_perturbation,256,2,64,0.7,0.7,34.791380882263184,20211008-200035,1.1867148876190186
21,0.9,SimCLR,edge_perturbation,256,2,512,0.7,0.65,34.51532769203186,20211008-200111,1.265146255493164
22,0.9,SimCLR,edge_perturbation,256,3,64,0.75,0.7,35.14457893371582,20211008-200147,1.1908798217773438
23,0.9,SimCLR,edge_perturbation,256,3,512,0.75,0.55,35.11445140838623,20211008-200223,1.295802116394043
24,0.9,SimCLR,subgraph,64,1,64,0.8,0.95,44.00223422050476,20211008-200309,1.1810083389282227
25,0.9,SimCLR,subgraph,64,1,512,0.85,0.7,45.492032051086426,20211008-200355,1.2838635444641113
26,0.9,SimCLR,subgraph,64,2,64,0.8,0.85,47.810898303985596,20211008-200444,1.2380876541137695
27,0.9,SimCLR,subgraph,64,2,512,0.85,0.6,47.99821162223816,20211008-200534,1.3189697265625
28,0.9,SimCLR,subgraph,64,3,64,0.75,0.7,49.62888264656067,20211008-200625,1.2408311367034912
29,0.9,SimCLR,subgraph,64,3,512,0.85,0.8,49.614357233047485,20211008-200716,1.354970932006836
30,0.9,SimCLR,subgraph,256,1,64,0.8,0.9,41.97934126853943,20211008-200759,1.1774005889892578
31,0.9,SimCLR,subgraph,256,1,512,0.85,0.75,41.57879090309143,20211008-200842,1.2242670059204102
32,0.9,SimCLR,subgraph,256,2,64,0.75,0.85,42.31354856491089,20211008-200925,1.181539535522461
33,0.9,SimCLR,subgraph,256,2,512,0.85,0.7,43.13367319107056,20211008-201010,1.3242137432098389
34,0.9,SimCLR,subgraph,256,3,64,0.75,0.85,44.65301012992859,20211008-201056,1.2467460632324219
35,0.9,SimCLR,subgraph,256,3,512,0.85,0.75,44.96938967704773,20211008-201142,1.3523352146148682
36,0.9,SimCLR,attribute_masking,64,1,64,0.75,0.65,39.70678520202637,20211008-201223,1.2309846878051758
37,0.9,SimCLR,attribute_masking,64,1,512,0.75,0.65,39.529680013656616,20211008-201304,1.2720296382904053
38,0.9,SimCLR,attribute_masking,64,2,64,0.85,0.8,41.049538135528564,20211008-201346,1.2362608909606934
39,0.9,SimCLR,attribute_masking,64,2,512,0.85,0.75,41.18618154525757,20211008-201429,1.3289368152618408
40,0.9,SimCLR,attribute_masking,64,3,64,0.9,0.75,42.741708517074585,20211008-201513,1.2443737983703613
41,0.9,SimCLR,attribute_masking,64,3,512,1.0,1.0,42.41240882873535,20211008-201557,1.293039321899414
42,0.9,SimCLR,attribute_masking,256,1,64,0.65,0.75,37.13219714164734,20211008-201635,1.2392358779907227
43,0.9,SimCLR,attribute_masking,256,1,512,0.75,0.9,37.700156688690186,20211008-201714,1.2866511344909668
44,0.9,SimCLR,attribute_masking,256,2,64,0.85,0.8,37.9470636844635,20211008-201753,1.1853113174438477
45,0.9,SimCLR,attribute_masking,256,2,512,0.85,0.6,37.86892628669739,20211008-201833,1.2635886669158936
46,0.9,SimCLR,attribute_masking,256,3,64,0.9,0.7,38.50842881202698,20211008-201912,1.1920151710510254
47,0.9,SimCLR,attribute_masking,256,3,512,1.0,1.0,38.40223431587219,20211008-201952,1.3021926879882812
48,0.9,BarlowTwins,node_dropping,64,1,64,0.75,0.85,38.14235281944275,20211008-202031,1.1790814399719238
49,0.9,BarlowTwins,node_dropping,64,1,512,0.8,0.7,38.313883543014526,20211008-202111,1.2265193462371826
50,0.9,BarlowTwins,node_dropping,64,2,64,0.8,0.55,40.31009125709534,20211008-202153,1.2421905994415283
51,0.9,BarlowTwins,node_dropping,64,2,512,0.8,0.7,41.770421266555786,20211008-202236,1.331362009048462
