idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7056329849012776,0.6979674796747967,11997.357971668243,20211018-140118,12.047634601593018
1,0.9,SimCLR,node_dropping,64,1,512,0.6520325203252032,0.6933797909407666,10925.600957632065,20211018-170344,19.79469871520996
2,0.9,SimCLR,node_dropping,64,2,64,0.7125435540069686,0.7642276422764227,12032.287470817566,20211018-202429,12.454557657241821
3,0.9,SimCLR,node_dropping,64,2,512,0.7299070847851336,0.7274680603948896,12005.520763397217,20211018-234507,32.117478370666504
4,0.9,SimCLR,node_dropping,64,3,64,0.6983159117305457,0.7056910569105691,12068.746937990189,20211019-030630,13.772018909454346
5,0.9,SimCLR,node_dropping,64,3,512,0.7178281068524971,0.7322299651567944,12083.816149711609,20211019-062838,43.8991801738739
6,0.9,SimCLR,node_dropping,256,1,64,0.6861788617886179,0.6421022067363531,5095.647664546967,20211019-075342,8.49128794670105
7,0.9,SimCLR,node_dropping,256,1,512,0.6617886178861788,0.671486643437863,5130.129082918167,20211019-091928,15.70221757888794
8,0.9,SimCLR,node_dropping,256,2,64,0.6835075493612078,0.6766550522648083,5144.222264289856,20211019-104521,8.900234460830688
9,0.9,SimCLR,node_dropping,256,2,512,0.7494773519163763,0.681068524970964,5147.670876026154,20211019-121137,28.364067554473877
10,0.9,SimCLR,node_dropping,256,3,64,0.6933797909407665,0.6861788617886179,5175.903115749359,20211019-133803,9.69830584526062
11,0.9,SimCLR,node_dropping,256,3,512,0.7105110336817653,0.7202090592334495,5180.333873748779,20211019-150504,40.20543909072876
12,0.9,SimCLR,edge_perturbation,64,1,64,0.6595818815331009,0.6763646922183507,5154.5217361450195,20211019-163107,8.59271788597107
13,0.9,SimCLR,edge_perturbation,64,1,512,0.6616144018583042,0.6521486643437864,5173.034351348877,20211019-175736,15.520721912384033
14,0.9,SimCLR,edge_perturbation,64,2,64,0.6740418118466899,0.6619047619047619,5188.97438788414,20211019-192414,9.316087007522583
15,0.9,SimCLR,edge_perturbation,64,2,512,0.6789198606271776,0.7152148664343786,5201.619373083115,20211019-205125,29.40541410446167
16,0.9,SimCLR,edge_perturbation,64,3,64,0.6981416957026713,0.6619628339140534,5229.15438914299,20211019-221845,10.175532817840576
17,0.9,SimCLR,edge_perturbation,64,3,512,0.7127758420441347,0.6737514518002323,5232.615898132324,20211019-234639,41.15071654319763
18,0.9,SimCLR,edge_perturbation,256,1,64,0.6399535423925667,0.6788617886178862,5096.302356958389,20211020-011144,8.674589395523071
19,0.9,SimCLR,edge_perturbation,256,1,512,0.6689314750290359,0.669047619047619,5104.762016773224,20211020-023705,16.036223649978638
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6790360046457606,0.6517421602787457,5109.385710477829,20211020-040223,9.128632068634033
21,0.9,SimCLR,edge_perturbation,256,2,512,0.6716608594657375,0.6861788617886179,5116.17204284668,20211020-052814,28.89729952812195
22,0.9,SimCLR,edge_perturbation,256,3,64,0.7056329849012775,0.6592915214866434,5131.111542701721,20211020-065355,10.230284690856934
23,0.9,SimCLR,edge_perturbation,256,3,512,0.6885598141695702,0.6666085946573751,5138.132999420166,20211020-082014,40.60735750198364
24,0.9,SimCLR,subgraph,64,1,64,0.6886178861788618,0.6835656213704994,5407.143935918808,20211020-095030,8.417933464050293
25,0.9,SimCLR,subgraph,64,1,512,0.7104529616724738,0.6959930313588849,5415.807258367538,20211020-112102,16.064820766448975
26,0.9,SimCLR,subgraph,64,2,64,0.7080720092915214,0.6932055749128919,5409.7374176979065,20211020-125121,9.133681058883667
27,0.9,SimCLR,subgraph,64,2,512,0.6717189314750289,0.6449477351916376,5400.293575525284,20211020-142151,29.38137412071228
28,0.9,SimCLR,subgraph,64,3,64,0.6885598141695701,0.6740998838559813,5398.730052947998,20211020-155200,10.438540935516357
29,0.9,SimCLR,subgraph,64,3,512,0.7008710801393728,0.7128339140534262,5405.966875076294,20211020-172247,40.51927876472473
30,0.9,SimCLR,subgraph,256,1,64,0.6886178861788619,0.6984901277584203,5231.573884010315,20211020-185007,8.330108880996704
31,0.9,SimCLR,subgraph,256,1,512,0.693321718931475,0.6739256678281068,5233.773863792419,20211020-201742,16.29097557067871
32,0.9,SimCLR,subgraph,256,2,64,0.7008130081300813,0.7009291521486644,5237.426203966141,20211020-214509,8.931748390197754
33,0.9,SimCLR,subgraph,256,2,512,0.6716608594657375,0.6642276422764227,5242.999853849411,20211020-231303,30.740193128585815
34,0.9,SimCLR,subgraph,256,3,64,0.6594076655052264,0.6642857142857143,5269.226321697235,20211021-004102,10.112077236175537
35,0.9,SimCLR,subgraph,256,3,512,0.717711962833914,0.7008710801393728,5270.4824655056,20211021-020933,40.532912731170654
36,0.9,SimCLR,attribute_masking,64,1,64,0.6790360046457607,0.6518583042973286,5270.392744779587,20211021-033732,8.620694875717163
