idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
48,0.9,BarlowTwins,node_dropping,64,1,64,0.75,0.85,41.66957378387451,20211008-131830,1.2451269626617432
49,0.9,BarlowTwins,node_dropping,64,1,512,0.8,0.75,43.27683901786804,20211008-131914,1.2851128578186035
50,0.9,BarlowTwins,node_dropping,64,2,64,0.8,0.6,43.159374952316284,20211008-131959,1.202664852142334
51,0.9,BarlowTwins,node_dropping,64,2,512,0.8,0.7,42.98654890060425,20211008-132044,2.5216760635375977
52,0.9,BarlowTwins,node_dropping,64,3,64,0.75,0.8,47.163816928863525,20211008-132133,1.2660138607025146
53,0.9,BarlowTwins,node_dropping,64,3,512,0.85,0.8,45.575275182724,20211008-132220,1.3848094940185547
54,0.9,BarlowTwins,node_dropping,256,1,64,0.8,0.75,39.625046491622925,20211008-132301,1.2501182556152344
55,0.9,BarlowTwins,node_dropping,256,1,512,0.75,0.9,39.720866203308105,20211008-132342,1.2436232566833496
56,0.9,BarlowTwins,node_dropping,256,2,64,0.75,0.9,39.04095411300659,20211008-132422,1.201735019683838
57,0.9,BarlowTwins,node_dropping,256,2,512,0.8,0.7,38.485063552856445,20211008-132502,1.2770028114318848
58,0.9,BarlowTwins,node_dropping,256,3,64,0.75,0.7,38.866347312927246,20211008-132542,1.2020986080169678
59,0.9,BarlowTwins,node_dropping,256,3,512,0.8,0.85,38.948643922805786,20211008-132622,1.3193080425262451
60,0.9,BarlowTwins,edge_perturbation,64,1,64,0.75,0.85,38.792407274246216,20211008-132702,1.2524950504302979
61,0.9,BarlowTwins,edge_perturbation,64,1,512,0.85,0.75,38.46611762046814,20211008-132742,1.234227180480957
62,0.9,BarlowTwins,edge_perturbation,64,2,64,0.75,0.55,38.991544008255005,20211008-132822,1.254709005355835
63,0.9,BarlowTwins,edge_perturbation,64,2,512,0.65,0.8,41.10462927818298,20211008-132905,1.3256125450134277
64,0.9,BarlowTwins,edge_perturbation,64,3,64,0.75,0.75,42.05772304534912,20211008-132948,1.2090339660644531
65,0.9,BarlowTwins,edge_perturbation,64,3,512,0.85,0.65,40.75264239311218,20211008-133030,1.3085217475891113
66,0.9,BarlowTwins,edge_perturbation,256,1,64,0.8,0.75,34.91067051887512,20211008-133106,1.1893057823181152
67,0.9,BarlowTwins,edge_perturbation,256,1,512,0.8,0.8,35.41429829597473,20211008-133143,1.2440261840820312
68,0.9,BarlowTwins,edge_perturbation,256,2,64,0.75,0.9,35.54433870315552,20211008-133220,1.1970272064208984
69,0.9,BarlowTwins,edge_perturbation,256,2,512,0.8,0.85,35.81203317642212,20211008-133257,1.2842552661895752
70,0.9,BarlowTwins,edge_perturbation,256,3,64,0.75,0.7,36.24457144737244,20211008-133334,1.213876724243164
71,0.9,BarlowTwins,edge_perturbation,256,3,512,0.85,0.55,36.10926342010498,20211008-133412,1.3123512268066406
72,0.9,BarlowTwins,subgraph,64,1,64,0.85,0.7,45.92906856536865,20211008-133459,1.1835732460021973
73,0.9,BarlowTwins,subgraph,64,1,512,0.9,0.9,46.35450887680054,20211008-133547,1.225191593170166
74,0.9,BarlowTwins,subgraph,64,2,64,0.75,0.65,49.40183877944946,20211008-133637,1.250993013381958
75,0.9,BarlowTwins,subgraph,64,2,512,0.8,0.8,50.09261703491211,20211008-133729,1.329469919204712
76,0.9,BarlowTwins,subgraph,64,3,64,0.85,0.8,51.526782274246216,20211008-133822,1.256636381149292
77,0.9,BarlowTwins,subgraph,64,3,512,0.8,0.6,49.59457015991211,20211008-133913,1.3046064376831055
78,0.9,BarlowTwins,subgraph,256,1,64,0.75,0.8,43.84887099266052,20211008-133958,1.2449679374694824
79,0.9,BarlowTwins,subgraph,256,1,512,0.85,0.85,44.82584047317505,20211008-134044,1.2917611598968506
80,0.9,BarlowTwins,subgraph,256,2,64,0.75,0.65,45.26231908798218,20211008-134130,1.1981210708618164
81,0.9,BarlowTwins,subgraph,256,2,512,0.9,0.95,43.64714026451111,20211008-134215,1.278789758682251
82,0.9,BarlowTwins,subgraph,256,3,64,0.8,0.65,44.34262466430664,20211008-134301,1.213587999343872
83,0.9,BarlowTwins,subgraph,256,3,512,0.85,0.65,45.990063428878784,20211008-134348,1.3721539974212646
84,0.9,BarlowTwins,attribute_masking,64,1,64,0.75,0.75,41.160818576812744,20211008-134431,1.1910746097564697
85,0.9,BarlowTwins,attribute_masking,64,1,512,0.7,0.6,42.46870803833008,20211008-134515,1.2955100536346436
86,0.9,BarlowTwins,attribute_masking,64,2,64,0.8,0.75,42.79910063743591,20211008-134559,1.255481481552124
87,0.9,BarlowTwins,attribute_masking,64,2,512,0.8,0.65,43.081536293029785,20211008-134643,1.332843542098999
88,0.9,BarlowTwins,attribute_masking,64,3,64,0.8,0.6,45.93559503555298,20211008-134730,1.2575020790100098
89,0.9,BarlowTwins,attribute_masking,64,3,512,0.75,0.85,44.98798322677612,20211008-134817,1.3750252723693848
90,0.9,BarlowTwins,attribute_masking,256,1,64,0.75,0.75,40.472827672958374,20211008-134859,2.0242433547973633
91,0.9,BarlowTwins,attribute_masking,256,1,512,0.75,0.8,41.16714644432068,20211008-134942,1.2928974628448486
92,0.9,BarlowTwins,attribute_masking,256,2,64,0.75,0.65,40.7492311000824,20211008-135024,1.2069602012634277
93,0.9,BarlowTwins,attribute_masking,256,2,512,0.8,0.95,39.093143701553345,20211008-135104,1.2911717891693115
94,0.9,BarlowTwins,attribute_masking,256,3,64,0.8,0.8,39.52080774307251,20211008-135145,1.1997835636138916
95,0.9,BarlowTwins,attribute_masking,256,3,512,0.9,0.9,39.50023818016052,20211008-135226,1.3125114440917969
96,0.9,Simsiam,node_dropping,64,1,64,0.8,0.7,40.5164098739624,20211008-135308,1.1885619163513184
97,0.9,Simsiam,node_dropping,64,1,512,0.8,0.75,40.47573256492615,20211008-135350,1.2344820499420166
98,0.9,Simsiam,node_dropping,64,2,64,0.75,0.7,42.17400336265564,20211008-135433,1.2025558948516846
99,0.9,Simsiam,node_dropping,64,2,512,0.75,0.7,42.26807427406311,20211008-135517,1.2731075286865234
100,0.9,Simsiam,node_dropping,64,3,64,0.8,0.7,43.775986433029175,20211008-135602,1.2119925022125244
101,0.9,Simsiam,node_dropping,64,3,512,0.75,0.65,43.936832427978516,20211008-135647,1.3213837146759033
102,0.9,Simsiam,node_dropping,256,1,64,0.75,0.8,37.94700336456299,20211008-135726,1.19032883644104
103,0.9,Simsiam,node_dropping,256,1,512,0.8,0.65,38.017786502838135,20211008-135805,1.2355751991271973
104,0.9,Simsiam,node_dropping,256,2,64,0.8,0.8,38.58510947227478,20211008-135845,1.1957690715789795
105,0.9,Simsiam,node_dropping,256,2,512,0.75,0.65,38.54335808753967,20211008-135925,1.2854385375976562
106,0.9,Simsiam,node_dropping,256,3,64,0.75,0.65,39.09846615791321,20211008-140005,1.202005386352539
107,0.9,Simsiam,node_dropping,256,3,512,0.9,0.8,39.15778398513794,20211008-140046,1.3142218589782715
108,0.9,Simsiam,edge_perturbation,64,1,64,0.8,0.8,39.75598454475403,20211008-140127,1.2535598278045654
109,0.9,Simsiam,edge_perturbation,64,1,512,0.75,0.8,40.56061601638794,20211008-140209,1.2962613105773926
110,0.9,Simsiam,edge_perturbation,64,2,64,0.75,0.75,41.97965908050537,20211008-140252,1.262976884841919
111,0.9,Simsiam,edge_perturbation,64,2,512,0.75,0.6,42.56794762611389,20211008-140336,1.354522466659546
112,0.9,Simsiam,edge_perturbation,64,3,64,0.85,0.65,44.13473725318909,20211008-140422,1.2757246494293213
113,0.9,Simsiam,edge_perturbation,64,3,512,0.8,0.55,44.2309193611145,20211008-140508,1.3913872241973877
114,0.9,Simsiam,edge_perturbation,256,1,64,0.65,0.8,37.36917233467102,20211008-140546,1.2525608539581299
115,0.9,Simsiam,edge_perturbation,256,1,512,0.75,0.5,37.334848403930664,20211008-140625,1.2920513153076172
116,0.9,Simsiam,edge_perturbation,256,2,64,0.85,0.75,36.32579207420349,20211008-140702,1.2054147720336914
117,0.9,Simsiam,edge_perturbation,256,2,512,0.85,0.75,36.142822265625,20211008-140740,1.2857451438903809
118,0.9,Simsiam,edge_perturbation,256,3,64,0.75,0.75,37.77984142303467,20211008-140819,1.2728571891784668
119,0.9,Simsiam,edge_perturbation,256,3,512,0.8,0.8,38.70513701438904,20211008-140859,1.3871970176696777
120,0.9,Simsiam,subgraph,64,1,64,0.8,0.9,49.25859308242798,20211008-140950,1.2540283203125
121,0.9,Simsiam,subgraph,64,1,512,0.9,0.85,49.55720782279968,20211008-141041,1.3052654266357422
122,0.9,Simsiam,subgraph,64,2,64,0.75,0.6,51.18030667304993,20211008-141133,1.2587387561798096
123,0.9,Simsiam,subgraph,64,2,512,0.8,0.75,51.41342353820801,20211008-141226,1.3412492275238037
124,0.9,Simsiam,subgraph,64,3,64,0.65,0.55,51.20475172996521,20211008-141318,1.2144460678100586
125,0.9,Simsiam,subgraph,64,3,512,0.7,0.7,50.800572872161865,20211008-141411,1.34236478805542
126,0.9,Simsiam,subgraph,256,1,64,0.85,0.95,43.432090282440186,20211008-141455,1.203355073928833
