idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7,0.65,38.21058630943298,20211010-103834,1.1996347904205322
1,0.9,SimCLR,node_dropping,64,1,512,0.8,0.65,38.921507596969604,20211010-103914,1.2492833137512207
2,0.9,SimCLR,node_dropping,64,2,64,0.75,0.65,40.53387141227722,20211010-103956,1.2062482833862305
3,0.9,SimCLR,node_dropping,64,2,512,0.75,0.8,40.58489775657654,20211010-104038,1.2859163284301758
4,0.9,SimCLR,node_dropping,64,3,64,0.85,0.65,43.91251850128174,20211010-104123,1.274449348449707
5,0.9,SimCLR,node_dropping,64,3,512,0.8,0.65,44.61205744743347,20211010-104209,1.3992419242858887
6,0.9,SimCLR,node_dropping,256,1,64,0.75,0.75,39.0525119304657,20211010-104250,1.2693278789520264
7,0.9,SimCLR,node_dropping,256,1,512,0.8,0.7,39.15528988838196,20211010-104330,1.3180131912231445
8,0.9,SimCLR,node_dropping,256,2,64,0.75,0.65,41.20321178436279,20211010-104413,1.2692859172821045
9,0.9,SimCLR,node_dropping,256,2,512,0.7,0.85,39.61957383155823,20211010-104454,1.3790230751037598
10,0.9,SimCLR,node_dropping,256,3,64,0.7,0.7,40.07176160812378,20211010-104535,1.2791244983673096
11,0.9,SimCLR,node_dropping,256,3,512,0.75,0.75,40.12626361846924,20211010-104617,1.3940536975860596
12,0.9,SimCLR,edge_perturbation,64,1,64,0.75,0.6,37.92088747024536,20211010-104656,1.2005345821380615
13,0.9,SimCLR,edge_perturbation,64,1,512,0.75,0.75,36.46162557601929,20211010-104733,1.2461133003234863
14,0.9,SimCLR,edge_perturbation,64,2,64,0.65,0.65,37.82262945175171,20211010-104813,1.211402416229248
15,0.9,SimCLR,edge_perturbation,64,2,512,0.75,0.8,38.11323094367981,20211010-104852,1.352381706237793
16,0.9,SimCLR,edge_perturbation,64,3,64,0.85,0.75,42.44245958328247,20211010-104936,1.2752721309661865
17,0.9,SimCLR,edge_perturbation,64,3,512,0.8,0.75,41.380088567733765,20211010-105019,1.342292070388794
18,0.9,SimCLR,edge_perturbation,256,1,64,0.75,0.6,34.83944869041443,20211010-105055,1.2112655639648438
19,0.9,SimCLR,edge_perturbation,256,1,512,0.65,0.7,34.64309525489807,20211010-105131,1.24212646484375
20,0.9,SimCLR,edge_perturbation,256,2,64,0.7,0.7,34.965330362319946,20211010-105207,1.213444709777832
21,0.9,SimCLR,edge_perturbation,256,2,512,0.7,0.65,35.25942921638489,20211010-105243,1.2891926765441895
22,0.9,SimCLR,edge_perturbation,256,3,64,0.75,0.7,35.64439344406128,20211010-105320,1.2194797992706299
23,0.9,SimCLR,edge_perturbation,256,3,512,0.75,0.55,35.60069990158081,20211010-105357,1.3319525718688965
24,0.9,SimCLR,subgraph,64,1,64,0.8,0.9,45.247902393341064,20211010-105444,1.1972393989562988
25,0.9,SimCLR,subgraph,64,1,512,0.85,0.7,44.59943962097168,20211010-105530,1.2445483207702637
26,0.9,SimCLR,subgraph,64,2,64,0.85,0.85,46.243942737579346,20211010-105617,1.2626442909240723
27,0.9,SimCLR,subgraph,64,2,512,0.9,0.65,48.11516308784485,20211010-105707,1.2851886749267578
28,0.9,SimCLR,subgraph,64,3,64,0.75,0.7,47.64908313751221,20211010-105756,1.2140345573425293
29,0.9,SimCLR,subgraph,64,3,512,0.85,0.75,48.30198073387146,20211010-105847,2.5623245239257812
30,0.9,SimCLR,subgraph,256,1,64,0.8,0.9,42.52906513214111,20211010-105930,1.200570821762085
31,0.9,SimCLR,subgraph,256,1,512,0.85,0.75,41.820889472961426,20211010-110014,1.2497508525848389
32,0.9,SimCLR,subgraph,256,2,64,0.75,0.85,42.5308039188385,20211010-110057,1.2650256156921387
33,0.9,SimCLR,subgraph,256,2,512,0.85,0.65,44.95915460586548,20211010-110144,1.340494155883789
34,0.9,SimCLR,subgraph,256,3,64,0.75,0.85,45.077409982681274,20211010-110230,1.2742125988006592
35,0.9,SimCLR,subgraph,256,3,512,0.85,0.75,45.173548460006714,20211010-110317,1.3892617225646973
36,0.9,SimCLR,attribute_masking,64,1,64,0.75,0.65,39.6634840965271,20211010-110358,1.2586655616760254
37,0.9,SimCLR,attribute_masking,64,1,512,0.75,0.7,38.4323627948761,20211010-110437,1.2541697025299072
38,0.9,SimCLR,attribute_masking,64,2,64,0.75,0.7,39.97511124610901,20211010-110519,1.2183592319488525
39,0.9,SimCLR,attribute_masking,64,2,512,0.85,0.75,40.16837167739868,20211010-110600,1.344175100326538
40,0.9,SimCLR,attribute_masking,64,3,64,0.9,0.75,41.65041708946228,20211010-110643,1.2161750793457031
41,0.9,SimCLR,attribute_masking,64,3,512,1.0,1.0,41.41708493232727,20211010-110726,1.3195199966430664
42,0.9,SimCLR,attribute_masking,256,1,64,0.75,0.75,37.635995388031006,20211010-110805,1.2029392719268799
