idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7,0.75,39.84972643852234,20211008-180441,1.2732841968536377
1,0.9,SimCLR,node_dropping,64,1,512,0.8,0.65,40.09610986709595,20211008-180522,1.3005681037902832
2,0.9,SimCLR,node_dropping,64,2,64,0.75,0.65,41.491326093673706,20211008-180605,1.2630162239074707
3,0.9,SimCLR,node_dropping,64,2,512,0.8,0.8,41.837212324142456,20211008-180648,1.342932939529419
4,0.9,SimCLR,node_dropping,64,3,64,0.75,0.8,43.42923974990845,20211008-180733,1.271256923675537
5,0.9,SimCLR,node_dropping,64,3,512,0.75,0.6,42.05143618583679,20211008-180816,1.3247880935668945
6,0.9,SimCLR,node_dropping,256,1,64,0.75,0.75,37.06526041030884,20211008-180855,1.200948715209961
7,0.9,SimCLR,node_dropping,256,1,512,0.8,0.65,37.081799268722534,20211008-180933,1.2453830242156982
8,0.9,SimCLR,node_dropping,256,2,64,0.75,0.65,37.58595061302185,20211008-181012,1.2037389278411865
9,0.9,SimCLR,node_dropping,256,2,512,0.7,0.85,37.58057522773743,20211008-181051,1.2771601676940918
10,0.9,SimCLR,node_dropping,256,3,64,0.75,0.7,38.21541714668274,20211008-181130,1.2185475826263428
11,0.9,SimCLR,node_dropping,256,3,512,0.75,0.7,38.23979592323303,20211008-181210,1.3261468410491943
12,0.9,SimCLR,edge_perturbation,64,1,64,0.75,0.6,37.13059997558594,20211008-181248,1.2518634796142578
13,0.9,SimCLR,edge_perturbation,64,1,512,0.9,0.8,37.925957918167114,20211008-181327,1.2999897003173828
14,0.9,SimCLR,edge_perturbation,64,2,64,0.65,0.65,38.4454345703125,20211008-181407,1.207139253616333
15,0.9,SimCLR,edge_perturbation,64,2,512,0.75,0.8,37.63347601890564,20211008-181446,1.2822766304016113
16,0.9,SimCLR,edge_perturbation,64,3,64,0.9,0.8,39.12723135948181,20211008-181526,1.2104988098144531
17,0.9,SimCLR,edge_perturbation,64,3,512,0.8,0.7,40.552265882492065,20211008-181609,1.3859262466430664
18,0.9,SimCLR,edge_perturbation,256,1,64,0.75,0.6,34.8223991394043,20211008-181645,1.195225477218628
19,0.9,SimCLR,edge_perturbation,256,1,512,0.65,0.7,34.4479718208313,20211008-181720,1.2389919757843018
20,0.9,SimCLR,edge_perturbation,256,2,64,0.7,0.7,34.81668496131897,20211008-181756,1.2024130821228027
21,0.9,SimCLR,edge_perturbation,256,2,512,0.7,0.65,35.148298263549805,20211008-181833,1.279564380645752
22,0.9,SimCLR,edge_perturbation,256,3,64,0.75,0.7,35.54717803001404,20211008-181910,1.210296392440796
23,0.9,SimCLR,edge_perturbation,256,3,512,0.75,0.55,35.629101037979126,20211008-181947,1.3399314880371094
24,0.9,SimCLR,subgraph,64,1,64,0.75,0.95,44.438302755355835,20211008-182032,1.193213701248169
25,0.9,SimCLR,subgraph,64,1,512,0.85,0.7,44.5914580821991,20211008-182118,1.242624044418335
26,0.9,SimCLR,subgraph,64,2,64,0.85,0.85,46.1095404624939,20211008-182206,1.1995563507080078
27,0.9,SimCLR,subgraph,64,2,512,0.85,0.7,46.689202308654785,20211008-182254,1.3325083255767822
28,0.9,SimCLR,subgraph,64,3,64,0.8,0.7,49.917994260787964,20211008-182345,1.2105696201324463
29,0.9,SimCLR,subgraph,64,3,512,0.85,0.7,48.036593198776245,20211008-182434,1.3164138793945312
30,0.9,SimCLR,subgraph,256,1,64,0.8,0.9,43.91089582443237,20211008-182519,1.2494773864746094
31,0.9,SimCLR,subgraph,256,1,512,0.85,0.75,43.88046836853027,20211008-182605,1.2995314598083496
32,0.9,SimCLR,subgraph,256,2,64,0.75,0.85,44.64994144439697,20211008-182651,1.2582669258117676
33,0.9,SimCLR,subgraph,256,2,512,0.85,0.75,44.90509843826294,20211008-182737,1.329402208328247
34,0.9,SimCLR,subgraph,256,3,64,0.75,0.85,45.12645244598389,20211008-182823,1.2668390274047852
35,0.9,SimCLR,subgraph,256,3,512,0.85,0.75,45.54649806022644,20211008-182910,1.3732352256774902
36,0.9,SimCLR,attribute_masking,64,1,64,0.75,0.65,40.247071504592896,20211008-182952,1.2517876625061035
37,0.9,SimCLR,attribute_masking,64,1,512,0.75,0.65,40.24356150627136,20211008-183033,1.298210620880127
38,0.9,SimCLR,attribute_masking,64,2,64,0.75,0.7,41.82969522476196,20211008-183117,1.2568283081054688
39,0.9,SimCLR,attribute_masking,64,2,512,0.85,0.75,41.915409088134766,20211008-183200,1.3406858444213867
40,0.9,SimCLR,attribute_masking,64,3,64,0.85,0.7,43.63702726364136,20211008-183245,1.2663862705230713
41,0.9,SimCLR,attribute_masking,64,3,512,1.0,1.0,43.75819730758667,20211008-183330,1.3760921955108643
42,0.9,SimCLR,attribute_masking,256,1,64,0.75,0.75,40.03865456581116,20211008-183411,1.253150463104248
43,0.9,SimCLR,attribute_masking,256,1,512,0.75,0.9,39.94205665588379,20211008-183453,1.3078691959381104
44,0.9,SimCLR,attribute_masking,256,2,64,0.8,0.8,40.54823899269104,20211008-183534,1.2602553367614746
45,0.9,SimCLR,attribute_masking,256,2,512,0.8,0.55,40.51024341583252,20211008-183616,1.34964919090271
46,0.9,SimCLR,attribute_masking,256,3,64,0.85,0.75,39.35930943489075,20211008-183657,1.2133076190948486
47,0.9,SimCLR,attribute_masking,256,3,512,1.0,1.0,41.06515407562256,20211008-183740,1.3772356510162354
48,0.9,BarlowTwins,node_dropping,64,1,64,0.75,0.85,39.27371311187744,20211008-183820,1.202254295349121
49,0.9,BarlowTwins,node_dropping,64,1,512,0.8,0.75,38.63092088699341,20211008-183900,1.2458786964416504
50,0.9,BarlowTwins,node_dropping,64,2,64,0.8,0.55,40.09395718574524,20211008-183941,1.2042157649993896
51,0.9,BarlowTwins,node_dropping,64,2,512,0.8,0.7,40.23683738708496,20211008-184023,1.2837576866149902
52,0.9,BarlowTwins,node_dropping,64,3,64,0.75,0.8,41.81568360328674,20211008-184106,1.2124271392822266
53,0.9,BarlowTwins,node_dropping,64,3,512,0.85,0.8,41.95932674407959,20211008-184149,1.3323619365692139
54,0.9,BarlowTwins,node_dropping,256,1,64,0.8,0.75,37.230125188827515,20211008-184228,1.20143461227417
55,0.9,BarlowTwins,node_dropping,256,1,512,0.8,0.9,37.26903009414673,20211008-184306,1.2445247173309326
56,0.9,BarlowTwins,node_dropping,256,2,64,0.8,0.9,37.860739946365356,20211008-184345,1.204516887664795
57,0.9,BarlowTwins,node_dropping,256,2,512,0.8,0.7,37.82212996482849,20211008-184425,1.2851519584655762
58,0.9,BarlowTwins,node_dropping,256,3,64,0.75,0.7,38.305330991744995,20211008-184504,1.2123165130615234
59,0.9,BarlowTwins,node_dropping,256,3,512,0.85,0.85,38.44883108139038,20211008-184544,1.3186712265014648
60,0.9,BarlowTwins,edge_perturbation,64,1,64,0.75,0.85,36.24007558822632,20211008-184621,1.200897216796875
61,0.9,BarlowTwins,edge_perturbation,64,1,512,0.85,0.75,36.37935662269592,20211008-184659,1.244405746459961
62,0.9,BarlowTwins,edge_perturbation,64,2,64,0.7,0.55,37.78705930709839,20211008-184738,1.2072820663452148
63,0.9,BarlowTwins,edge_perturbation,64,2,512,0.65,0.8,38.02824258804321,20211008-184818,1.2864151000976562
64,0.9,BarlowTwins,edge_perturbation,64,3,64,0.75,0.7,39.45032453536987,20211008-184858,1.2144033908843994
65,0.9,BarlowTwins,edge_perturbation,64,3,512,0.85,0.65,40.56937026977539,20211008-184940,1.319657325744629
66,0.9,BarlowTwins,edge_perturbation,256,1,64,0.8,0.75,34.741634368896484,20211008-185016,1.200735092163086
67,0.9,BarlowTwins,edge_perturbation,256,1,512,0.8,0.8,34.651339530944824,20211008-185052,1.2393224239349365
68,0.9,BarlowTwins,edge_perturbation,256,2,64,0.75,0.9,35.81657266616821,20211008-185129,1.262237548828125
69,0.9,BarlowTwins,edge_perturbation,256,2,512,0.8,0.85,37.124878883361816,20211008-185208,1.3463263511657715
70,0.9,BarlowTwins,edge_perturbation,256,3,64,0.75,0.7,37.45842933654785,20211008-185247,1.2758636474609375
71,0.9,BarlowTwins,edge_perturbation,256,3,512,0.8,0.65,37.48206925392151,20211008-185326,1.3843164443969727
72,0.9,BarlowTwins,subgraph,64,1,64,0.85,0.7,46.802610635757446,20211008-185414,1.2467012405395508
73,0.9,BarlowTwins,subgraph,64,1,512,0.9,0.9,46.707168102264404,20211008-185502,1.2950453758239746
74,0.9,BarlowTwins,subgraph,64,2,64,0.8,0.65,48.404457807540894,20211008-185551,1.2581181526184082
75,0.9,BarlowTwins,subgraph,64,2,512,0.75,0.75,48.92350625991821,20211008-185642,1.340587854385376
76,0.9,BarlowTwins,subgraph,64,3,64,0.75,0.75,50.18603539466858,20211008-185733,1.2657999992370605
77,0.9,BarlowTwins,subgraph,64,3,512,0.9,0.75,50.29548645019531,20211008-185825,1.3712196350097656
78,0.9,BarlowTwins,subgraph,256,1,64,0.8,0.8,44.18145799636841,20211008-185910,1.24802565574646
79,0.9,BarlowTwins,subgraph,256,1,512,0.85,0.85,44.061628580093384,20211008-185956,1.2996141910552979
80,0.9,BarlowTwins,subgraph,256,2,64,0.85,0.7,44.91936731338501,20211008-190042,1.2056453227996826
81,0.9,BarlowTwins,subgraph,256,2,512,0.8,0.8,42.89046287536621,20211008-190126,1.342226505279541
82,0.9,BarlowTwins,subgraph,256,3,64,0.95,0.95,46.66759943962097,20211008-190214,1.2712068557739258
83,0.9,BarlowTwins,subgraph,256,3,512,0.85,0.7,45.53316330909729,20211008-190301,1.311673641204834
84,0.9,BarlowTwins,attribute_masking,64,1,64,0.75,0.75,39.98271298408508,20211008-190342,1.2532107830047607
85,0.9,BarlowTwins,attribute_masking,64,1,512,0.7,0.65,39.238733530044556,20211008-190423,1.2391302585601807
86,0.9,BarlowTwins,attribute_masking,64,2,64,0.75,0.75,41.46611762046814,20211008-190506,1.2002651691436768
87,0.9,BarlowTwins,attribute_masking,64,2,512,0.8,0.65,40.57691740989685,20211008-190547,1.2770273685455322
88,0.9,BarlowTwins,attribute_masking,64,3,64,0.75,0.5,42.022459268569946,20211008-190631,1.208019733428955
89,0.9,BarlowTwins,attribute_masking,64,3,512,0.85,0.85,42.097771644592285,20211008-190714,1.3147969245910645
90,0.9,BarlowTwins,attribute_masking,256,1,64,0.75,0.65,39.58700156211853,20211008-190755,1.2543528079986572
91,0.9,BarlowTwins,attribute_masking,256,1,512,0.75,0.8,39.66014122962952,20211008-190836,1.2509346008300781
92,0.9,BarlowTwins,attribute_masking,256,2,64,0.75,0.65,40.32565522193909,20211008-190918,1.261300802230835
93,0.9,BarlowTwins,attribute_masking,256,2,512,0.8,0.95,40.681047677993774,20211008-191000,1.3438410758972168
94,0.9,BarlowTwins,attribute_masking,256,3,64,0.8,0.8,41.13303518295288,20211008-191042,1.2706193923950195
