idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.746969696969697,0.6840909090909091,23778.15780878067,20211106-095305,13.276768684387207
1,0.9,SimCLR,node_dropping,64,1,512,0.7712121212121212,0.7462121212121213,23854.71531534195,20211106-163054,13.711143970489502
2,0.9,SimCLR,node_dropping,64,2,64,0.7712121212121212,0.7257575757575758,23844.481124162674,20211106-230833,13.315216302871704
3,0.9,SimCLR,node_dropping,64,2,512,0.7628787878787879,0.7280303030303031,23851.653212547302,20211107-054619,14.46005392074585
4,0.9,SimCLR,node_dropping,64,3,64,0.7636363636363637,0.7295454545454546,23853.823288440704,20211107-122407,13.654410362243652
5,0.9,SimCLR,node_dropping,64,3,512,0.7446969696969699,0.768939393939394,23910.69829249382,20211107-190253,15.067488431930542
6,0.9,SimCLR,node_dropping,128,1,64,0.7628787878787879,0.7454545454545455,25492.567020893097,20211108-020759,13.378317594528198
7,0.9,SimCLR,node_dropping,128,1,512,0.7712121212121212,0.7803030303030303,25448.272461652756,20211108-091222,13.64821982383728
8,0.9,SimCLR,node_dropping,128,2,64,0.737878787878788,0.7787878787878788,25472.724316835403,20211108-161708,13.323297500610352
9,0.9,SimCLR,node_dropping,128,2,512,0.7628787878787879,0.728030303030303,25534.628670930862,20211108-232257,14.356750965118408
10,0.9,SimCLR,node_dropping,128,3,64,0.7613636363636364,0.6856060606060608,25534.66136455536,20211109-062846,13.314529657363892
11,0.9,SimCLR,node_dropping,128,3,512,0.7780303030303031,0.693939393939394,25625.91002178192,20211109-133607,15.255064725875854
12,0.9,SimCLR,edge_perturbation,64,1,64,0.7621212121212122,0.7477272727272728,23683.395119428635,20211109-201104,13.136641502380371
13,0.9,SimCLR,edge_perturbation,64,1,512,0.762121212121212,0.7287878787878788,23656.36347270012,20211110-024535,13.82329797744751
14,0.9,SimCLR,edge_perturbation,64,2,64,0.7719696969696971,0.7113636363636363,23661.685227394104,20211110-092010,13.370131492614746
15,0.9,SimCLR,edge_perturbation,64,2,512,0.7643939393939394,0.7212121212121212,23757.31116938591,20211110-155622,14.487971782684326
16,0.9,SimCLR,edge_perturbation,64,3,64,0.7628787878787879,0.6515151515151516,23729.503429174423,20211110-223206,13.585816383361816
17,0.9,SimCLR,edge_perturbation,64,3,512,0.7356060606060606,0.8636363636363636,23753.42942261696,20211111-050815,15.232306957244873
18,0.9,SimCLR,edge_perturbation,128,1,64,0.793939393939394,0.7878787878787878,25639.688588142395,20211111-121548,13.274523258209229
19,0.9,SimCLR,edge_perturbation,128,1,512,0.771969696969697,0.7636363636363637,25486.431032180786,20211111-192049,13.61237621307373
20,0.9,SimCLR,edge_perturbation,128,2,64,0.753030303030303,0.778030303030303,25534.928391456604,20211112-022637,13.304068326950073
21,0.9,SimCLR,edge_perturbation,128,2,512,0.7469696969696971,0.7810606060606061,25533.353129386902,20211112-093226,14.287978172302246
22,0.9,SimCLR,edge_perturbation,128,3,64,0.7651515151515151,0.7537878787878789,25684.485605239868,20211112-164044,13.37487244606018
23,0.9,SimCLR,edge_perturbation,128,3,512,0.7454545454545455,0.7795454545454545,24496.452602624893,20211112-232915,14.224676132202148
24,0.9,SimCLR,subgraph,64,1,64,0.7431818181818182,0.7454545454545455,21586.187113046646,20211113-052914,12.545151472091675
25,0.9,SimCLR,subgraph,64,1,512,0.7560606060606061,0.7469696969696971,21578.386085510254,20211113-112906,13.033142805099487
26,0.9,SimCLR,subgraph,64,2,64,0.7022727272727274,0.7484848484848484,21565.05091905594,20211113-172844,12.612783908843994
27,0.9,SimCLR,subgraph,64,2,512,0.7636363636363637,0.678030303030303,21574.079939365387,20211113-232832,13.571629047393799
28,0.9,SimCLR,subgraph,64,3,64,0.7954545454545455,0.7810606060606061,21571.89231801033,20211114-052817,12.718167543411255
29,0.9,SimCLR,subgraph,64,3,512,0.7643939393939394,0.7196969696969697,21603.50621652603,20211114-112835,14.132610321044922
30,0.9,SimCLR,subgraph,128,1,64,0.7469696969696971,0.7371212121212121,21472.82811331749,20211114-172640,12.415650844573975
31,0.9,SimCLR,subgraph,128,1,512,0.7636363636363637,0.7712121212121212,21419.36438202858,20211114-232353,12.927560806274414
32,0.9,SimCLR,subgraph,128,2,64,0.7545454545454546,0.6863636363636363,21422.815296649933,20211115-052109,12.491689682006836
33,0.9,SimCLR,subgraph,128,2,512,0.7393939393939394,0.7553030303030303,21437.76104235649,20211115-111841,13.405412673950195
34,0.9,SimCLR,subgraph,128,3,64,0.771969696969697,0.7810606060606061,21551.57761335373,20211115-171806,13.257530450820923
35,0.9,SimCLR,subgraph,128,3,512,0.7462121212121213,0.7621212121212122,22781.001348018646,20211115-233802,14.969440460205078
36,0.9,SimCLR,attribute_masking,64,1,64,0.737878787878788,0.6871212121212122,23648.14475107193,20211116-061223,12.542190313339233
37,0.9,SimCLR,attribute_masking,64,1,512,0.7727272727272727,0.7962121212121213,23582.721279144287,20211116-124539,13.015398502349854
38,0.9,SimCLR,attribute_masking,64,2,64,0.7363636363636363,0.7204545454545455,23595.584907770157,20211116-191908,12.698577165603638
39,0.9,SimCLR,attribute_masking,64,2,512,0.7560606060606061,0.7166666666666667,23647.9545481205,20211117-015330,13.608116149902344
40,0.9,SimCLR,attribute_masking,64,3,64,0.7727272727272727,0.7280303030303029,23607.720799446106,20211117-082711,12.707248210906982
41,0.9,SimCLR,attribute_masking,64,3,512,0.7287878787878789,0.7340909090909091,23603.625319480896,20211117-150054,14.121810674667358
42,0.9,SimCLR,attribute_masking,128,1,64,0.7022727272727274,0.7446969696969697,26168.31274676323,20211117-221715,12.453647136688232
43,0.9,SimCLR,attribute_masking,128,1,512,0.7045454545454546,0.8037878787878789,26194.30578160286,20211118-053403,12.897454977035522
44,0.9,SimCLR,attribute_masking,128,2,64,0.7356060606060606,0.7439393939393939,26137.22726535797,20211118-124953,12.482860803604126
45,0.9,SimCLR,attribute_masking,128,2,512,0.7954545454545455,0.7454545454545455,26304.68864941597,20211118-200831,13.538930654525757
46,0.9,SimCLR,attribute_masking,128,3,64,0.7462121212121212,0.7522727272727273,26340.848459005356,20211119-032745,12.604161739349365
47,0.9,SimCLR,attribute_masking,128,3,512,0.7439393939393939,0.746969696969697,26368.2211227417,20211119-104728,14.052158117294312
48,0.9,BarlowTwins,node_dropping,64,1,64,0.7295454545454546,0.7227272727272728,23865.051366329193,20211120-041346,13.28427529335022
49,0.9,BarlowTwins,node_dropping,64,1,512,0.7651515151515152,0.7106060606060607,23911.338880062103,20211120-105231,13.804418325424194
50,0.9,BarlowTwins,node_dropping,64,2,64,0.7371212121212122,0.8386363636363636,23902.289573192596,20211120-173108,13.286195278167725
51,0.9,BarlowTwins,node_dropping,64,2,512,0.7356060606060607,0.6848484848484849,23930.661619901657,20211121-001013,14.449732542037964
52,0.9,BarlowTwins,node_dropping,64,3,64,0.7477272727272728,0.7469696969696971,23923.045300483704,20211121-064910,13.563551902770996
53,0.9,BarlowTwins,node_dropping,64,3,512,0.7537878787878789,0.8227272727272726,23963.321662425995,20211121-132850,15.11012053489685
54,0.9,BarlowTwins,node_dropping,128,1,64,0.7439393939393939,0.7636363636363637,25608.618696689606,20211121-203552,13.08322787284851
55,0.9,BarlowTwins,node_dropping,128,1,512,0.7598484848484848,0.7204545454545455,25603.97690486908,20211122-034250,13.718552827835083
56,0.9,BarlowTwins,node_dropping,128,2,64,0.7704545454545455,0.7022727272727274,25662.484756946564,20211122-105046,13.188478469848633
57,0.9,BarlowTwins,node_dropping,128,2,512,0.7636363636363637,0.7439393939393939,25632.43714094162,20211122-175814,14.350252866744995
58,0.9,BarlowTwins,node_dropping,128,3,64,0.768939393939394,0.759090909090909,25645.401563167572,20211123-010553,13.506569385528564
59,0.9,BarlowTwins,node_dropping,128,3,512,0.7378787878787879,0.7386363636363636,25566.91509079933,20211123-081216,15.258266687393188
60,0.9,BarlowTwins,edge_perturbation,64,1,64,0.7621212121212121,0.7818181818181819,23680.753496408463,20211123-144716,13.325228691101074
61,0.9,BarlowTwins,edge_perturbation,64,1,512,0.7530303030303032,0.6977272727272728,23673.667990922928,20211123-212203,13.706389427185059
62,0.9,BarlowTwins,edge_perturbation,64,2,64,0.7696969696969698,0.7128787878787879,23721.51184773445,20211124-035739,13.28551197052002
63,0.9,BarlowTwins,edge_perturbation,64,2,512,0.7287878787878789,0.6780303030303031,23794.3762922287,20211124-103428,14.188990354537964
64,0.9,BarlowTwins,edge_perturbation,64,3,64,0.7560606060606061,0.6621212121212122,23813.25367975235,20211124-171135,13.45558762550354
65,0.9,BarlowTwins,edge_perturbation,64,3,512,0.7371212121212121,0.8045454545454545,23691.11822772026,20211124-234642,15.042526721954346
66,0.9,BarlowTwins,edge_perturbation,128,1,64,0.7553030303030303,0.7446969696969699,25544.11988043785,20211125-065240,13.327006816864014
67,0.9,BarlowTwins,edge_perturbation,128,1,512,0.7636363636363637,0.8121212121212121,25566.979881048203,20211125-135901,13.549686431884766
68,0.9,BarlowTwins,edge_perturbation,128,2,64,0.7712121212121212,0.796969696969697,25581.12268972397,20211125-210536,13.212442636489868
69,0.9,BarlowTwins,edge_perturbation,128,2,512,0.7303030303030302,0.6939393939393941,25585.95463323593,20211126-041217,14.277546882629395
70,0.9,BarlowTwins,edge_perturbation,128,3,64,0.7621212121212121,0.7363636363636364,25549.218183279037,20211126-111825,13.375633239746094
71,0.9,BarlowTwins,edge_perturbation,128,3,512,0.7295454545454546,0.8151515151515151,25621.732833385468,20211126-182543,15.401712417602539
72,0.9,BarlowTwins,subgraph,64,1,64,0.7439393939393939,0.8234848484848485,22830.2722055912,20211127-004627,13.20067834854126
73,0.9,BarlowTwins,subgraph,64,1,512,0.7015151515151514,0.7386363636363636,22893.5098695755,20211127-070815,13.84619951248169
74,0.9,BarlowTwins,subgraph,64,2,64,0.7310606060606061,0.7136363636363636,22905.379588842392,20211127-133014,13.38086485862732
75,0.9,BarlowTwins,subgraph,64,2,512,0.7287878787878788,0.7462121212121212,22882.074739694595,20211127-195151,14.433382749557495
