idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7234848484848485,0.75,342.87796235084534,20211012-061543,1.9191064834594727
1,0.9,SimCLR,node_dropping,64,1,512,0.7393939393939394,0.7166666666666667,345.9507095813751,20211012-062132,2.8990538120269775
2,0.9,SimCLR,node_dropping,64,2,64,0.7227272727272727,0.6363636363636364,353.14389872550964,20211012-062727,1.9272124767303467
3,0.9,SimCLR,node_dropping,64,2,512,0.7598484848484849,0.6606060606060606,353.4714994430542,20211012-063324,3.8358309268951416
4,0.9,SimCLR,node_dropping,64,3,64,0.7613636363636364,0.7848484848484849,364.76976895332336,20211012-063931,2.105907440185547
5,0.9,SimCLR,node_dropping,64,3,512,0.7136363636363636,0.6492424242424242,369.35333490371704,20211012-064546,5.0767858028411865
6,0.9,SimCLR,node_dropping,256,1,64,0.6954545454545455,0.706060606060606,463.3034391403198,20211012-065331,1.881859540939331
7,0.9,SimCLR,node_dropping,256,1,512,0.715909090909091,0.7151515151515152,439.6651201248169,20211012-070053,2.679006338119507
8,0.9,SimCLR,node_dropping,256,2,64,0.7151515151515152,0.6681818181818182,438.2667136192322,20211012-070813,1.929149866104126
9,0.9,SimCLR,node_dropping,256,2,512,0.7333333333333334,0.7431818181818182,440.9723262786865,20211012-071538,3.5369091033935547
10,0.9,SimCLR,node_dropping,256,3,64,0.7500000000000001,0.662121212121212,451.6261727809906,20211012-072312,2.1862642765045166
11,0.9,SimCLR,node_dropping,256,3,512,0.6878787878787879,0.7772727272727273,450.9756546020508,20211012-073048,5.022308588027954
12,0.9,SimCLR,edge_perturbation,64,1,64,0.6856060606060607,0.6606060606060608,332.7967355251312,20211012-073623,1.880751371383667
13,0.9,SimCLR,edge_perturbation,64,1,512,0.721969696969697,0.6674242424242426,340.5838613510132,20211012-074206,2.959847927093506
14,0.9,SimCLR,edge_perturbation,64,2,64,0.715909090909091,0.6818181818181819,358.7082917690277,20211012-074807,1.8760595321655273
15,0.9,SimCLR,edge_perturbation,64,2,512,0.7500000000000001,0.7325757575757577,347.0019302368164,20211012-075358,3.6589443683624268
16,0.9,SimCLR,edge_perturbation,64,3,64,0.7333333333333334,0.7333333333333334,359.53887724876404,20211012-075959,2.07328200340271
17,0.9,SimCLR,edge_perturbation,64,3,512,0.6984848484848485,0.6757575757575758,366.2648491859436,20211012-080611,4.963820934295654
18,0.9,SimCLR,edge_perturbation,256,1,64,0.7136363636363636,0.7424242424242424,442.0105993747711,20211012-081335,1.8962647914886475
19,0.9,SimCLR,edge_perturbation,256,1,512,0.753030303030303,0.7106060606060607,448.72264766693115,20211012-082106,2.8765716552734375
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6780303030303031,0.7045454545454545,445.8132257461548,20211012-082834,2.0439794063568115
21,0.9,SimCLR,edge_perturbation,256,2,512,0.7075757575757576,0.7431818181818182,443.9601905345917,20211012-083602,3.6663520336151123
22,0.9,SimCLR,edge_perturbation,256,3,64,0.7234848484848485,0.6712121212121213,422.7150716781616,20211012-084307,2.0690841674804688
23,0.9,SimCLR,edge_perturbation,256,3,512,0.7227272727272727,0.7401515151515152,454.84620904922485,20211012-085047,4.918847322463989
24,0.9,SimCLR,subgraph,64,1,64,0.7310606060606062,0.7424242424242424,382.9995880126953,20211012-085711,1.814687728881836
25,0.9,SimCLR,subgraph,64,1,512,0.7310606060606062,0.7136363636363636,371.49994683265686,20211012-090326,2.745471477508545
26,0.9,SimCLR,subgraph,64,2,64,0.7318181818181818,0.6681818181818182,396.3551080226898,20211012-091004,1.9731740951538086
27,0.9,SimCLR,subgraph,64,2,512,0.7484848484848485,0.7234848484848485,395.4755058288574,20211012-091643,3.6303822994232178
28,0.9,SimCLR,subgraph,64,3,64,0.6712121212121211,0.6803030303030303,402.7177631855011,20211012-092328,1.9960944652557373
29,0.9,SimCLR,subgraph,64,3,512,0.7401515151515152,0.7439393939393939,392.8455317020416,20211012-093005,4.492698907852173
30,0.9,SimCLR,subgraph,256,1,64,0.7318181818181818,0.7234848484848485,373.01580786705017,20211012-093620,1.8133678436279297
31,0.9,SimCLR,subgraph,256,1,512,0.7227272727272729,0.7780303030303031,373.6715877056122,20211012-094237,2.84782075881958
32,0.9,SimCLR,subgraph,256,2,64,0.740909090909091,0.6878787878787879,374.9087960720062,20211012-094854,1.8568370342254639
33,0.9,SimCLR,subgraph,256,2,512,0.7606060606060606,0.7265151515151516,374.94968938827515,20211012-095512,3.610028028488159
34,0.9,SimCLR,subgraph,256,3,64,0.7590909090909091,0.7037878787878789,375.1868488788605,20211012-100130,2.0836987495422363
35,0.9,SimCLR,subgraph,256,3,512,0.7613636363636365,0.7583333333333334,378.1326551437378,20211012-100753,4.640909671783447
36,0.9,SimCLR,attribute_masking,64,1,64,0.7242424242424244,0.7151515151515152,373.69247174263,20211012-101408,1.8305559158325195
37,0.9,SimCLR,attribute_masking,64,1,512,0.7249999999999999,0.6696969696969698,390.13596415519714,20211012-102041,2.7447824478149414
38,0.9,SimCLR,attribute_masking,64,2,64,0.7325757575757575,0.7393939393939395,392.5246422290802,20211012-102715,1.885967493057251
39,0.9,SimCLR,attribute_masking,64,2,512,0.7477272727272728,0.75,390.2809302806854,20211012-103349,3.4673304557800293
40,0.9,SimCLR,attribute_masking,64,3,64,0.7234848484848485,0.7575757575757576,404.0431590080261,20211012-104035,2.0857038497924805
