idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.6959349593495935,0.6979674796747967,4951.388567209244,20211018-120516,8.144078254699707
1,0.9,SimCLR,node_dropping,64,1,512,0.6738095238095237,0.6666085946573752,5181.767523050308,20211018-133154,15.46557092666626
2,0.9,SimCLR,node_dropping,64,2,64,0.7053426248548199,0.7398954703832752,5215.757297992706,20211018-145858,8.558472394943237
3,0.9,SimCLR,node_dropping,64,2,512,0.7346109175377468,0.7372822299651567,5155.557493209839,20211018-162522,28.63992166519165
4,0.9,SimCLR,node_dropping,64,3,64,0.695876887340302,0.7105691056910568,5255.514498949051,20211018-175308,9.681001901626587
5,0.9,SimCLR,node_dropping,64,3,512,0.6909988385598141,0.7127758420441347,5180.393989801407,20211018-192010,41.285428524017334
6,0.9,SimCLR,node_dropping,256,1,64,0.6764227642276422,0.6421602787456446,4958.070466995239,20211018-204256,8.124680995941162
7,0.9,SimCLR,node_dropping,256,1,512,0.666724738675958,0.6763646922183508,4975.535133600235,20211018-220608,16.095364570617676
8,0.9,SimCLR,node_dropping,256,2,64,0.6958188153310104,0.6767711962833913,4983.453366279602,20211018-232920,8.442166090011597
9,0.9,SimCLR,node_dropping,256,2,512,0.7177700348432055,0.6932636469221835,4991.113548994064,20211019-005300,29.50506067276001
10,0.9,SimCLR,node_dropping,256,3,64,0.6961091753774681,0.6885598141695701,4991.834408521652,20211019-021622,9.67549204826355
11,0.9,SimCLR,node_dropping,256,3,512,0.7154471544715446,0.7057491289198606,4999.831684350967,20211019-034024,41.65456175804138
12,0.9,SimCLR,edge_perturbation,64,1,64,0.6791521486643437,0.6788037166085946,5038.086824417114,20211019-050431,8.405639171600342
13,0.9,SimCLR,edge_perturbation,64,1,512,0.654355400696864,0.6667247386759582,5043.384147405624,20211019-062850,16.255746603012085
14,0.9,SimCLR,edge_perturbation,64,2,64,0.678861788617886,0.6666666666666667,5141.452395915985,20211019-075441,9.046805620193481
15,0.9,SimCLR,edge_perturbation,64,2,512,0.6740998838559814,0.7200929152148664,5127.973433256149,20211019-092040,30.487201690673828
16,0.9,SimCLR,edge_perturbation,64,3,64,0.705458768873403,0.659465737514518,5157.812140703201,20211019-104648,10.362190961837769
17,0.9,SimCLR,edge_perturbation,64,3,512,0.7008130081300812,0.6714866434378629,5159.990412712097,20211019-121329,40.476983308792114
18,0.9,SimCLR,edge_perturbation,256,1,64,0.632636469221835,0.6593495934959349,5029.514870166779,20211019-133727,8.46405553817749
19,0.9,SimCLR,edge_perturbation,256,1,512,0.644773519163763,0.6714866434378629,5035.643004417419,20211019-150139,16.469830751419067
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6790940766550522,0.6614401858304296,5027.9022262096405,20211019-162536,9.008691310882568
21,0.9,SimCLR,edge_perturbation,256,2,512,0.7034262485481997,0.6715447154471544,5021.525241613388,20211019-174948,30.143446922302246
22,0.9,SimCLR,edge_perturbation,256,3,64,0.7057491289198605,0.6762485481997677,5032.325161933899,20211019-191351,10.060415744781494
23,0.9,SimCLR,edge_perturbation,256,3,512,0.7031939605110337,0.6691056910569105,5039.52628660202,20211019-203833,42.718488693237305
24,0.9,SimCLR,subgraph,64,1,64,0.6643437862950058,0.681184668989547,5287.120578050613,20211019-220649,8.502214193344116
25,0.9,SimCLR,subgraph,64,1,512,0.6910569105691056,0.6667247386759582,5292.813588857651,20211019-233517,15.590886116027832
26,0.9,SimCLR,subgraph,64,2,64,0.7153310104529615,0.6763066202090592,5294.519586086273,20211020-010341,8.73261833190918
27,0.9,SimCLR,subgraph,64,2,512,0.6889082462253193,0.6523228803716609,5280.50635766983,20211020-023210,29.12691354751587
28,0.9,SimCLR,subgraph,64,3,64,0.7031358885017421,0.696109175377468,5298.479528903961,20211020-040039,10.2208251953125
29,0.9,SimCLR,subgraph,64,3,512,0.6815911730545876,0.7006968641114982,5309.661019325256,20211020-052951,42.25457978248596
30,0.9,SimCLR,subgraph,256,1,64,0.683739837398374,0.6911730545876886,5155.198119401932,20211020-065555,8.311681032180786
31,0.9,SimCLR,subgraph,256,1,512,0.7152148664343786,0.6933797909407665,5139.092972517014,20211020-082156,16.26014733314514
32,0.9,SimCLR,subgraph,256,2,64,0.6934959349593495,0.7009291521486644,5147.956960678101,20211020-094753,8.93368649482727
33,0.9,SimCLR,subgraph,256,2,512,0.7056329849012775,0.7031939605110336,5141.418730258942,20211020-111404,29.918817281723022
34,0.9,SimCLR,subgraph,256,3,64,0.7032520325203252,0.7008710801393727,5147.912481784821,20211020-124002,10.150266408920288
35,0.9,SimCLR,subgraph,256,3,512,0.6861207897793262,0.6886178861788618,5156.206563949585,20211020-140639,40.091124057769775
36,0.9,SimCLR,attribute_masking,64,1,64,0.7009872241579558,0.6688734030197444,5169.246657371521,20211020-153257,8.52230191230774
37,0.9,SimCLR,attribute_masking,64,1,512,0.6690476190476189,0.7250290360046457,5177.090597629547,20211020-165930,16.20985436439514
